[2019-06-09 21:05] Dzserold megváltoztatta Stan Barger skinjét. SkinID: 223. (PLAYER:Dzserold) (TARGET:Stan Barger) 
[2019-06-09 21:09] Rapid megváltoztatta Stan Barger nevét. Új név: William Chapman. (PLAYER:Rapid) (TARGET:Stan Barger) 
[2019-06-09 21:35] Süsü megváltoztatta John Adek nevét. Új név: Moore Adek. (PLAYER:Süsü) (TARGET:John Adek) 
[2019-06-10 00:08] Zipoo megváltoztatta Jerold Brown skinjét. SkinID: 157. (PLAYER:Zipoo) (TARGET:Jerold Brown) 
[2019-06-10 08:48] Zipoo megváltoztatta Steven Moore skinjét. SkinID: 204. (PLAYER:Zipoo) (TARGET:Steven Moore) 
[2019-06-10 10:18] Kyle megváltoztatta Zahar Blohin skinjét. SkinID: 7. (PLAYER:Kyle) (TARGET:Zahar Blohin) 
[2019-06-10 10:19] Kyle megváltoztatta Brian Fritz skinjét. SkinID: 109. (PLAYER:Kyle) (TARGET:Brian Fritz) 
[2019-06-10 10:20] Kyle megváltoztatta Brian Fritz skinjét. SkinID: 111. (PLAYER:Kyle) (TARGET:Brian Fritz) 
[2019-06-10 10:20] Kyle megváltoztatta Brian Fritz skinjét. SkinID: 115. (PLAYER:Kyle) (TARGET:Brian Fritz) 
[2019-06-10 10:20] Kyle megváltoztatta Brian Fritz skinjét. SkinID: 116. (PLAYER:Kyle) (TARGET:Brian Fritz) 
[2019-06-10 10:20] Kyle megváltoztatta Brian Fritz skinjét. SkinID: 120. (PLAYER:Kyle) (TARGET:Brian Fritz) 
[2019-06-10 10:21] Kyle megváltoztatta Brian Fritz skinjét. SkinID: 109. (PLAYER:Kyle) (TARGET:Brian Fritz) 
[2019-06-10 10:21] Kyle megváltoztatta Brian Fritz skinjét. SkinID: 120. (PLAYER:Kyle) (TARGET:Brian Fritz) 
[2019-06-10 10:22] Kyle megváltoztatta Zahar Blohin skinjét. SkinID: 83. (PLAYER:Kyle) (TARGET:Zahar Blohin) 
[2019-06-10 10:35] Rapid megváltoztatta arnoldeisten nevét. Új név: Arnold Eisten. (PLAYER:Rapid) (TARGET:arnoldeisten) 
[2019-06-10 10:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 305. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 306. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:55] Shakur megváltoztatta Odel Junior skinjét. SkinID: 307. (PLAYER:Shakur) (TARGET:Odel Junior) 
[2019-06-10 10:56] Shakur megváltoztatta Odel Junior skinjét. SkinID: 140. (PLAYER:Shakur) (TARGET:Odel Junior) 
[2019-06-10 10:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 140. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 307. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 180. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 293. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 302. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 301. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:57] Shakur megváltoztatta Niken Twist skinjét. SkinID: 305. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:57] Shakur megváltoztatta Niken Twist skinjét. SkinID: 300. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:58] Shakur megváltoztatta Niken Twist skinjét. SkinID: 305. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 10:58] Shakur megváltoztatta Coolio Glover skinjét. SkinID: 19. (PLAYER:Shakur) (TARGET:Coolio Glover) 
[2019-06-10 10:59] Kyle megváltoztatta Stan Salvatore nevét. Új név: Stan S Simpson. (PLAYER:Kyle) (TARGET:Stan Salvatore) 
[2019-06-10 11:00] Shakur megváltoztatta Coolio Glover skinjét. SkinID: 67. (PLAYER:Shakur) (TARGET:Coolio Glover) 
[2019-06-10 11:00] Shakur megváltoztatta Niken Twist skinjét. SkinID: 66. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 11:01] Shakur megváltoztatta Niken Twist skinjét. SkinID: 64. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 11:01] Shakur megváltoztatta Niken Twist skinjét. SkinID: 67. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 11:01] Shakur megváltoztatta Niken Twist skinjét. SkinID: 68. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 11:01] Shakur megváltoztatta Niken Twist skinjét. SkinID: 66. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 11:02] Shakur megváltoztatta Odel Junior skinjét. SkinID: 180. (PLAYER:Shakur) (TARGET:Odel Junior) 
[2019-06-10 11:02] Shakur megváltoztatta Niken Twist skinjét. SkinID: 180. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 11:02] Shakur megváltoztatta Niken Twist skinjét. SkinID: 66. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 11:14] Kyle megváltoztatta Jashed Santiago skinjét. SkinID: 66. (PLAYER:Kyle) (TARGET:Jashed Santiago) 
[2019-06-10 11:14] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 109. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:14] Kyle megváltoztatta Jashed Santiago skinjét. SkinID: 301. (PLAYER:Kyle) (TARGET:Jashed Santiago) 
[2019-06-10 11:14] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 104. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 100. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 101. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 102. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 103. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 104. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 105. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 106. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 107. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 108. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 109. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 110. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 111. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 112. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 113. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 114. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 115. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 17. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 118. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 81. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 121. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 113. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:16] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 112. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:17] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 111. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:17] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 110. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:17] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 82. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:17] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 83. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:17] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 109. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:17] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 84. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:17] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 110. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:17] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 82. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:17] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 81. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:17] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 83. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:18] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 82. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:18] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 83. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:19] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 111. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:19] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 112. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:19] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 33. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:19] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 102. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:19] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 101. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:19] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 103. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:19] Kyle megváltoztatta Aziz Ervin skinjét. SkinID: 104. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:20] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 111. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:21] Rapid megváltoztatta Aziz Ervin skinjét. SkinID: 104. (PLAYER:Rapid) (TARGET:Aziz Ervin) 
[2019-06-10 11:22] Rapid megváltoztatta Aziz Ervin skinjét. SkinID: 127. (PLAYER:Rapid) (TARGET:Aziz Ervin) 
[2019-06-10 11:22] Rapid megváltoztatta Aziz Ervin skinjét. SkinID: 104. (PLAYER:Rapid) (TARGET:Aziz Ervin) 
[2019-06-10 11:22] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 127. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:22] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 126. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:22] Rapid megváltoztatta Zahar Blohin skinjét. SkinID: 83. (PLAYER:Rapid) (TARGET:Zahar Blohin) 
[2019-06-10 11:37] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 16. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:37] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 305. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:37] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 306. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:37] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 180. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:37] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 293. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:37] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 19. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:38] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 300. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:38] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 157. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 11:46] Kyle megváltoztatta Aziz Ervin nevét. Új név: Cameron B Qwens. (PLAYER:Kyle) (TARGET:Aziz Ervin) 
[2019-06-10 11:53] Zipoo megváltoztatta Steven Moore nevét. Új név: Xefande Tiberia. (PLAYER:Zipoo) (TARGET:Steven Moore) 
[2019-06-10 11:54] Shakur megváltoztatta Jashed Santiago nevét. Új név: Jashed Lane. (PLAYER:Shakur) (TARGET:Jashed Santiago) 
[2019-06-10 11:54] Rapid megváltoztatta Daniel Brayan nevét. Új név: Daniel S Simpson. (PLAYER:Rapid) (TARGET:Daniel Brayan) 
[2019-06-10 12:11] Rapid megváltoztatta Zsoltika2006 nevét. Új név: Kis Adam. (PLAYER:Rapid) (TARGET:Zsoltika2006) 
[2019-06-10 12:14] Atesz megváltoztatta Taylor D Oakwood skinjét. SkinID: 73. (PLAYER:Atesz) (TARGET:Taylor D Oakwood) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 102. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 103. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 104. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 105. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 106. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 107. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 108. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 109. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 110. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 111. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:44] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 112. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:45] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 113. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:45] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 114. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:45] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 121. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:45] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 115. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:45] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 122. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:45] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 112. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 101. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 102. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 103. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 104. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 105. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 106. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 107. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 108. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 109. (PLAYER:Kyle) (TARGET:Jashed Lane) 
